Всероссийская олимпиада школьников;Пусто;1;ALL
Всероссийская олимпиада школьников «Высшая проба»;Пусто;1;ALL
Всесибирская открытая олимпиада школьников;Пусто;1;1
Московская олимпиада школьников;Пусто;1;1
Московская олимпиада школьников;Пусто;1;2
Всероссийская экономическая олимпиада школьников имени Н.Д. Кондратьева;Пусто;2;3
Олимпиада школьников «Ломоносов»;Пусто;2;4
Городская открытая олимпиада школьников по физике;Пусто;2;5
